Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
IO,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",Jonathan Helpert,"Dramas, Sci-Fi & Fantasy","Margaret Qualley, Anthony Mackie, Danny Huston",United States,2019.0,TV-14,96 min,4.5/10,Movie
Irul,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",Naseef Yusuf Izuddin,"International Movies, Thrillers","Fahadh Faasil, Soubin Shahir, Darshana Rajendran",India,2021.0,TV-MA,91 min,5.9/10,Movie
Ishqiya,A deceitful woman seduces two of her late husband’s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom.,Abhishek Chaubey,"Comedies, International Movies, Romantic Movies","Naseeruddin Shah, Vidya Balan, Arshad Warsi, Salman Shahid, Anupama Kumar",India,2009.0,TV-14,115 min,7.4/10,Movie
Isoken,"Single at 34, Isoken is maneuvered by her mother toward a relationship with a black entrepreneur but finds herself drawn to a white photojournalist.",Jadesola Osiberu,"Comedies, International Movies, Romantic Movies","Dakore Akande, Joseph Benjamin, Marc Rhys, Funke Akindele, Lydia Forson, Damilola Adegbite, Tina Mba, Patrick Doyle",Nigeria,2017.0,TV-14,98 min,6.5/10,Movie
Ittefaq,"A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth.",Abhay Chopra,"Dramas, International Movies, Thrillers","Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna",India,2017.0,TV-MA,105 min,7.1/10,Movie
Jaal,"When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation.",Umesh Mehra,"Action & Adventure, International Movies","Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",India,1986.0,TV-14,162 min,4.9/10,Movie
Jada,"Wishing to settle an old score, a promising soccer player defies his coach’s wishes and leads his team to participate in a violent form of the sport.",Kumaran,"Dramas, International Movies, Sports Movies","Kathir, Kishore Kumar G., Roshini, Yogi Babu, Kishore",India,2019.0,TV-14,124 min,5.4/10,Movie
Jagat,"In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime.",Shanjey Kumar Perumal,"Dramas, International Movies","Harvind Raj, Jibrail Rajhula, Tinesh Sarathi Krishnan, Kuben Mahadevan, Senthil Kumaran Muniandy",Malaysia,2015.0,TV-MA,76 min,7.1/10,Movie
Jailbreak,Four cops escorting a mobster to a high-security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge.,Jimmy Henderson,"Action & Adventure, International Movies","Jean-Paul Ly, Dara Our, Tharoth Sam, Dara Phang, Celine Tran, Savin Phillip, Sok Visal",Cambodia,2017.0,TV-MA,92 min,5.7/10,Movie
Jefe,"A rude, self-centered businessman seems to be on the brink of losing everything until a night janitor at his office helps him find redemption.",Sergio Barrejón,"Comedies, Dramas, International Movies","Luis Callejo, Juana Acosta, Carlo D'Ursi, Josean Bengoetxea, Bárbara Santa-Cruz, Maica Barroso, Adam Jezierski, Sergio Quintana","Spain, Portugal",2018.0,TV-MA,90 min,5.2/10,Movie
Jezebel,"During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond.",Numa Perrier,"Dramas, Independent Movies","Tiffany Tenille, Numa Perrier, Stephen Barrington, Bobby Field, Rockwelle Dortch, Zoe Tyson, Dennis Jaffee, Jessa Zarubica, RiRia, Charlie Taylor, Amy Aitken, Brett Gelman",United States,2019.0,TV-MA,86 min,5.7/10,Movie
Jindua,An Indian man in Canada marries a local citizen to legalize his immigration status. The only problem? His girlfriend isn't thrilled about his new wife.,Navaniat Singh,"Dramas, International Movies, Romantic Movies","Jimmy Shergill, Sargun Mehta, Neeru Bajwa, Bhavkhandan Singh Rakhra, Arkie Kandola, Nina Rehill, Rajiv Thakur, Harjap Singh Bhangal, Balinder Johal, Carolyn Bridget Kennedy, Sonia Dhillon, Jimmy Sheirgill",India,2017.0,TV-14,135 min,6.7/10,Movie
Jinxed,"After a century-old curse of bad luck, a determined teen embarks on a journey to break her family’s generational misfortune.",Stephen Herek,"Children & Family Movies, Comedies","Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo, Donavon Stinson, Keegan Connor Tracy, Jay Brazeau","United States, Canada",2013.0,TV-Y,69 min,6.4/10,Movie
Joker,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.,Shirish Kunder,"Comedies, International Movies, Music & Musicals","Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba, Pitobash, Darshan Jariwala, Alexx O'Nell, Asrani, Sanjay Mishra, Vrijesh Hirjee",India,2012.0,TV-PG,98 min,2.5/10,Movie
Jonaki,"In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux.",Aditya Vikram Sengupta,"Dramas, Independent Movies, International Movies","Lolita Chatterjee, Sumanto Chattopadhyay, Ratnabali Bhattacharjee, Jim Sarbh, Indrajit Sinha, Sandershika Tamang, Arunima Sinha, Satya Priya Chakraborty, Christel Das, Burjor Patel",India,2018.0,TV-MA,96 min,7.0/10,Movie
Jonas,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float.",Lô Politi,"Dramas, International Movies","Jesuíta Barbosa, Laura Neiva, Criolo, Ana Cecília Costa, João Fábio Cabral, Ariclenes Barroso, Karol Conká, Chay Suede, Luciana Souza, Chris Couto, Roberto Berindelli",Brazil,2015.0,TV-MA,97 min,5.4/10,Movie
Joy,"Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom.",Sudabeh Mortezai,"Dramas, Independent Movies, International Movies","Anwulika Alphonsus, Mariam Precious Sanusi, Angela Ekeleme",Austria,2019.0,TV-MA,101 min,6.7/10,Movie
Juanita,"Burdened by troubles in life and love, a mother of three grown children searches for hope and healing on an impromptu trip to Paper Moon, Montana.",Clark Johnson,"Dramas, Independent Movies, Romantic Movies","Alfre Woodard, Adam Beach, LaTanya Richardson Jackson, Marcus Henderson, Blair Underwood, Ashlie Atkinson, Tsulan Cooper",United States,2019.0,TV-MA,90 min,6.2/10,Movie
Justice,"A U.S. Marshal arrives at a small town in Nevada, only to learn that his preacher brother is dead after standing up to the town's mayor and outlaws.",Richard Gabai,Movies,"Nathan Parsons, Jamie-Lynn Sigler, Ellen Hollman, John Lewis, Niko Foster, Quinton Aaron, Jackson Rathbone, Robert Carradine, Lesley-Anne Down, Stephen Lang",United States,2017.0,R,92 min,3.9/10,Movie
Justine,"A widowed, single mom takes a job caring for a young girl with spina bifida, and the two discover they have more in common than they realized.",Stephanie Turner,"Dramas, Independent Movies","Stephanie Turner, Glynn Turman, Daisy Prescott, Darby Stanchfield, Josh Stamberg, Bridget Kallal, Ravi Cabot-Conyers, Cleo King, Melanie Hutsell",United States,2019.0,TV-MA,106 min,6.5/10,Movie
Kaagar,"When an activist begins aiding a shrewd political advisor — also his girlfriend’s father, personal agendas lead to betrayal as love and duty clash.",Makarand Mane,"Dramas, International Movies, Romantic Movies","Rinku Rajguru, Shubhankar Tawde, Shashank Shende, Suhas Palshikar, Bharati Patil, Milind Pathak, Umesh Jagtap, Shantanu Gangane, Vitthal Kale, Mahesh Bhosale",India,2019.0,TV-MA,130 min,5.7/10,Movie
Kaal,"Trapped in a national park, a tiger expert and a group of hunters turn to an enigmatic local for help when they mysteriously begin to die one by one.",Soham Shah,"Horror Movies, International Movies, Thrillers","Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol, Vishal Malhotra, Kushal Punjabi, Vineet Sharma",India,2005.0,TV-14,126 min,4.5/10,Movie
Kahaani,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",Sujoy Ghosh,"International Movies, Music & Musicals, Thrillers","Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee, Saswata Chatterjee, Indraneil Sengupta, Nawazuddin Siddiqui, Darshan Jariwala, Masood Akhtar, Riddhi Sen",India,2012.0,TV-14,122 min,8.2/10,Movie
Kalakalappu,"Cheenu dreams of resurrecting the restaurant he has inherited to its former glory, but his brother, a compulsive gambler, loses the place to a cop.",Sundar C.,"Comedies, International Movies, Music & Musicals","Vimal, Anjali, Shiva, Oviya, Santhanam, John Vijay, M. Ilavarasu, Manobala",India,2012.0,TV-14,154 min,6.7/10,Movie
Kaminey,"A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty.",Vishal Bhardwaj,"Dramas, International Movies, Music & Musicals","Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam, Chandan Roy Sanyal, Hrishikesh Joshi, Amole Gupte, Patricia Bull, Carlos Paca, Eric Santos",India,2009.0,TV-14,128 min,7.5/10,Movie
Kappela,"Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.",Musthafa,"Dramas, Independent Movies, International Movies","Anna Ben, Roshan Mathew, Sreenath Bhasi, Sudhi Koppa, Tanvi Ram, Musthafa, James Eliya, Vijilesh",India,2020.0,TV-14,112 min,7.5/10,Movie
Kardec,"In Catholic 19th-century France, professor Léon Rivail attends a séance and is moved to found spiritism, putting him in the authorities' sights.",Wagner de Assis,"Dramas, Faith & Spirituality, International Movies","Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,2019.0,TV-14,110 min,6.0/10,Movie
Karkar,"After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative.",Ali Ragab,"Comedies, International Movies","Mohamed Saad, Hassan Hosny, Ragaa Al-Geddawy, Yasmin Abdulaziz, Alaa Morsy",Egypt,2007.0,TV-14,107 min,3.2/10,Movie
Kasanova,"After losing his wife, a single father indulges in flimsy flings until he meets his son's music teacher, who imparts a few lessons on love.",Oluseyi Asurf,"Comedies, International Movies, Romantic Movies","Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",Nigeria,2019.0,TV-14,117 min,6.7/10,Movie
Khoobsurat,A free-spirited doctor is hired to assist an injured king and winds up challenging his family's tradition-bound lifestyle as she falls for his son.,Shashanka Ghosh,"Comedies, International Movies, Romantic Movies","Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak Shah, Amir Raza Hussain, Ashok Banthia, Kaizaad Kotwal, Rishabh Chaddha",India,2014.0,TV-14,121 min,6.6/10,Movie
Killa,Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.,Avinash Arun,"Dramas, International Movies","Amruta Subhash, Archit Deodhar, Parth Bhalerao, Gaurish Gawade, Atharva Upasni, Swandand Raikar, Shrikant Yadav, Umesh Jagtap, Shivalati Bokil, Jui Kahate",India,2014.0,TV-14,107 min,8.0/10,Movie
Kingdom,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",Kim Seong-hun,"International TV Shows, Korean TV Shows, TV Action & Adventure","Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States",2020.0,TV-MA,2 Seasons,8.4/10,TV Show
Kisaan,A bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.,Puneet Sira,"Action & Adventure, Dramas, International Movies","Jackie Shroff, Arbaaz Khan, Sohail Khan, Diya Mirza, Nauheed Cyrusi, Sharat Saxena, Dalip Tahil, Vishwajeet Pradhan, Sarfaraz Khan",India,2009.0,TV-14,101 min,5.5/10,Movie
Klaus,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",Sergio Pablos,"Children & Family Movies, Comedies","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack","Spain, United Kingdom",2019.0,PG,98 min,8.3/10,Movie
Kodachrome,"A record company exec joins his estranged dad, a famous photographer who's dying, on a road trip to the last lab still developing Kodachrome film.",Mark Raso,"Comedies, Dramas","Ed Harris, Jason Sudeikis, Elizabeth Olsen","Canada, United States",2018.0,TV-MA,105 min,7.0/10,Movie
Krutant,"When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life.",Datta Mohan Bhandare,"Dramas, International Movies","Suyog Rajendra Gorhe, Sandeep Kulkarni, Vidya Karanjikar, Sayli Patil",India,2019.0,TV-14,114 min,6.1/10,Movie
Kuntilanak,Five youngsters discover that an antique mirror found in their orphanage is home to an evil ghost who kidnaps children and imprisons them inside it.,Rizal Mantovani,"Horror Movies, International Movies","Sandrinna M Skornicki, Aurélie Moeremans, Fero Walandouw, Andryan Bima, Ciara Nadine Brosnan, Ali Fikry, Adlu Fahrezy, Nena Rosier, Naufal Ho, Aqi Singgih",Indonesia,2018.0,TV-14,106 min,4.7/10,Movie
Kurbaan,"When a young Indian couple moves to the American suburbs, they are shocked to discover that they've become enmeshed in a secret terrorist plot.",Renzil D'Silva,"International Movies, Thrillers","Kareena Kapoor, Saif Ali Khan, Om Puri, Diya Mirza, Vivek Oberoi, Kulbhushan Kharbanda, Kiron Kher, Rupinder Nagra, Nauheed Cyrusi",India,2009.0,TV-14,147 min,5.5/10,Movie
Kuromukuro,"When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",Tensai Okamura,"Anime Series, International TV Shows","Yohei Azakami, M・A・O, Reina Ueda, Asami Seto, Kaito Ishikawa, Yusuke Kobayashi, Shunsuke Takeuchi, Manami Sugihira, Momo Asakura, Kanako Tojo, Ryohei Kimura, Hikaru Ueda, Taiten Kusunoki",Japan,2016.0,TV-14,2 Seasons,7.3/10,TV Show
Laatu,A man who hopes to bring light to his village must compete with an officer from the electricity department to win over the love of his life.,Manav Shah,"Comedies, Dramas, International Movies","Gagan Kokri, Aditi Sharma, Karamjit Anmol, Sardar Sohi, Anita Devgan, Ashish Duggal, Nisha Bano, Harby Sangha, Rahul Jungral, Prakash Gadhu",India,2018.0,TV-PG,116 min,6.7/10,Movie
Laddaland,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",Sopon Sukdapisit,"Horror Movies, International Movies","Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,2011.0,TV-MA,112 min,6.2/10,Movie
Lagaan,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",Ashutosh Gowariker,"Dramas, International Movies, Music & Musicals","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia","India, United Kingdom",2001.0,PG,224 min,8.1/10,Movie
Lakshya,"After dropping out of the army, a spoiled teenager reenlists and proves his mettle by becoming an officer just as war breaks out.",Farhan Akhtar,"Action & Adventure, Dramas, International Movies","Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Om Puri, Sharad Kapoor, Rajendranath Zutshi, Sushant Singh, Prashant Chainani, Shakeel Khan, Ranvir Shorey",India,2004.0,TV-PG,185 min,8.0/10,Movie
Lavender,"After discovering old fractures in her skull, a photographer recovering from amnesia becomes increasingly haunted by a sinister childhood secret.",Ed Gass-Donnelly,"Dramas, International Movies, Thrillers","Abbie Cornish, Diego Klattenhoff, Justin Long, Dermot Mulroney, Lola Flanery, Sarah Abbott, Liisa Repo-Martell, Peyton Kennedy","Canada, United States",2016.0,TV-MA,93 min,5.6/10,Movie
Lawless,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes.",John Hillcoat,Dramas,"Shia LaBeouf, Jessica Chastain, Jason Clarke, Guy Pearce, Lew Temple, Gary Oldman, Tim Tolin, Dane DeHaan, Mia Wasikowska, Chris McGarry, Tom Hardy",United States,2012.0,R,116 min,7.4/10,Movie
Lechmi,"The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer.",B.N. Shajeer Sha,"Comedies, Horror Movies, International Movies","Parvathy Ratheesh, Biju Sopanam, Sethulekshmi Amma, Molly Angamaly",India,2017.0,TV-MA,147 min,4.6/10,Movie
Legend,Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.,Brian Helgeland,"Dramas, International Movies, Thrillers","Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald","United Kingdom, France, United States",2015.0,R,132 min,6.8/10,Movie
Lens,"Addicted to webcams and voyeurism, a married man gets more than he bargained for when an online stranger tries to force him to watch a suicide.",Jayaprakash Radhakrishnan,"Dramas, Independent Movies, International Movies","Jayaprakash Radhakrishnan, Anand Sami, Aswathy Lal, Misha Ghoshal",India,2015.0,TV-MA,109 min,6.6/10,Movie
Liefling,"An adventure-loving young woman catches the attention of a handsome beau in this musical celebration of love, friends and fate.",Brian Webber,"Comedies, International Movies, Music & Musicals","Lika Berning, Bobby van Jaarsveld, Marlee van der Merwe, Sonja Herholdt, Elize Cawood, Rouel Beukes, Kevin Leo, Paul du Toit, Sylvaine Strike",South Africa,2010.0,TV-PG,118 min,5.6/10,Movie
Lifeline,Johnnie To's character-centered drama follows a Hong Kong firefighting crew as they take on harrowing rescue missions and navigate personal dilemmas.,Johnnie To,"Action & Adventure, International Movies","Lau Ching Wan, Alex Fong, Carman Lee, Ruby Wong, Raymond Wong Ho-Yin, Damian Lau, Lam Suet, Kenneth Chan",Hong Kong,1997.0,TV-14,104 min,6.8/10,Movie
Lilli,"A woman who's about to give birth finds her maternal instincts kicking in when she's abducted, imprisoned and brutalized by a vicious gang.",Prasobh Vijayan,"Dramas, Independent Movies, International Movies","Samyuktha Menon, Aaryan Menon, Dhanesh Anand, Kannan Nayar, Sajin Cherukayil, Kevin Jose, Athulya",India,2018.0,TV-MA,85 min,5.9/10,Movie
Lionheart,"When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world.",Genevieve Nnaji,"Comedies, Dramas, Independent Movies","Genevieve Nnaji, Nkem Owoh, Pete Edochie, Onyeka Onwenu, Kanayo O. Kanayo",Nigeria,2018.0,TV-PG,95 min,5.8/10,Movie
Listen,"A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses.",Philippe Aractingi,"Dramas, Independent Movies, International Movies","Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand",Lebanon,2017.0,TV-MA,103 min,6.7/10,Movie
Lock,"A disillusioned rickshaw driver in Punjab dreams of moving to Dubai, but his plan to butter up his would-be benefactor goes horribly wrong.",Smeep Kang,"Dramas, International Movies","Gippy Grewal, Gurpreet Guggi, Smeep Kang, Geeta Basra, Karamjit Anmol, Harpal Singh, Vikram Grover, Priyanka Sharma",India,2016.0,TV-14,90 min,6.2/10,Movie
Loev,Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend.,Sudhanshu Saria,"Dramas, Independent Movies, International Movies","Shiv Pandit, Dhruv Ganesh, Siddharth Menon, Rishabh Chaddha",India,2015.0,TV-MA,89 min,5.7/10,Movie
Lommbock,"After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things.",Christian Zübert,"Comedies, International Movies","Lucas Gregorowicz, Moritz Bleibtreu, Louis Hofmann, Wotan Wilke Möhring, Alexandra Neldel, Melanie Winigir, Mavie Hörbiger, Dar Salim, Elmar Wepper, Antoine Monot Jr.",Germany,2017.0,TV-MA,106 min,6.9/10,Movie
Love,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,Khalid Rahman,"Dramas, Independent Movies, International Movies","Shine Tom Chacko, Rajisha Vijayan, Gokulan, Sudhi Koppa, Veena Nandakumar, Johny Antony",India,2020.0,TV-14,91 min,7.0/10,Movie
Lovesong,"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding.",So Yong Kim,"Dramas, Independent Movies, Romantic Movies","Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Ryan Eggold, Rosanna Arquette, Cary Joji Fukunaga, Marshall Chapman, Neal Huff",United States,2016.0,TV-MA,84 min,6.2/10,Movie
Loving,A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.,Jeff Nichols,"Dramas, Romantic Movies","Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen","United Kingdom, United States",2016.0,PG-13,124 min,7.1/10,Movie
Lowriders,"Caught up in the lowrider world of his father and embittered brother, an East LA graffiti artist grapples with a family feud while chasing his dreams.",Ricardo de Montreuil,"Dramas, Independent Movies","Demián Bichir, Gabriel Chavarria, Theo Rossi, Melissa Benoist, Tony Revolori, Eva Longoria, Yvette Monreal, Cress Williams",United States,2016.0,PG-13,98 min,5.5/10,Movie
Luckee,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.",Sanjay Jadhav,"Comedies, International Movies, Romantic Movies","Abhay Mahajan, Dipti Sati, Mayur More, Shubhangi Tambale, Chetan Dalvi, Nilesh Diwekar",India,2019.0,TV-14,113 min,4.6/10,Movie
Ludo,"Needing a secluded place for a late-night tryst, two couples stow away in a mall after hours, but are quickly ensnared in a gruesome and deadly game.","Qaushiq Mukherjee, Nikon","Horror Movies, Independent Movies, International Movies","Ranodeep Bose, Soumendra Bhattacharya, Subholina Sen, Ananya Biswas",India,2015.0,TV-MA,88 min,3.0/10,Movie
Ludo,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",Anurag Basu,"Comedies, Dramas, International Movies","Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney",India,2020.0,TV-MA,150 min,7.7/10,Movie
Macho,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.,Antonio Serrano,"Comedies, International Movies, LGBTQ Movies","Miguel Rodarte, Cecilia Suárez, Aislinn Derbez, Renato López, Mario Iván Martínez, Valeria Vera, David Zorrilla, Ana de la Reguera, Manolo Cardona, Ofelia Medina",Mexico,2016.0,TV-MA,101 min,4.5/10,Movie
Magnificent,An industrialist's daughter is forced to marry a rich heir by her greedy grandmother as her adopted sister bonds with the charismatic wedding planner.,Vikas Bahl,"Comedies, International Movies, Romantic Movies","Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Sushma Seth, Niki Walia, Sanah Kapur, Vikas Verma",India,2015.0,TV-14,143 min,3.3/10,Movie
Maktub,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true.",Oded Raz,"Comedies, International Movies","Guy Amir, Hanan Savyon, Itzik Cohen, Igal Naor",Israel,2018.0,TV-MA,106 min,7.3/10,Movie
Malaal,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",Mangesh Hadawale,"Dramas, International Movies, Romantic Movies","Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle",India,2019.0,TV-14,133 min,5.9/10,Movie
Malang,"Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.",Mohit Suri,"Action & Adventure, International Movies, Romantic Movies","Anil Kapoor, Aditya Roy Kapur, Disha Patani, Kunal Khemu, Makrand Deshpande, Vatsal Seth, Amruta Khanvilkar, Shaad Randhawa",India,2020.0,TV-MA,131 min,6.3/10,Movie
Malevolent,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",Olaf de Fleur,"Horror Movies, Thrillers","Florence Pugh, Ben Lloyd-Hughes, Celia Imrie, James Cosmo, Scott Chambers, Georgina Bevan",United Kingdom,2018.0,TV-MA,89 min,4.9/10,Movie
Mallesham,"A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",Raj R,"Dramas, Independent Movies, International Movies","Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,2019.0,TV-PG,131 min,8.6/10,Movie
Mandela,"Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",Madonne Ashwin,"Comedies, Dramas, International Movies","Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar",India,2021.0,TV-14,140 min,8.5/10,Movie
Manhunt,A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.,John Woo,"Action & Adventure, International Movies","Zhang Hanyu, Masaharu Fukuyama, Qi Wei, Ji-won Ha, Jun Kunimura, Angeles Woo, Nanami Sakuraba","China, Hong Kong",2017.0,TV-MA,109 min,5.4/10,Movie
MANK,1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”,David Fincher,"Dramas, Independent Movies","Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann",United States,2020.0,R,133 min,6.8/10,Movie
Mann,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later.",Indra Kumar,"Dramas, International Movies, Romantic Movies","Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",India,1999.0,TV-14,173 min,6.4/10,Movie
Manoranjan,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",Shammi Kapoor,"Comedies, International Movies, Music & Musicals","Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,1974.0,TV-14,162 min,7.0/10,Movie
Manto,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.,Nandita Das,"Dramas, Independent Movies, International Movies","Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin",India,2018.0,TV-MA,114 min,7.3/10,Movie
Manu,"The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge.",Phanindra Narsetti,"Dramas, Independent Movies, International Movies","Raja Goutham, Chandini Chowdary, Bomma Sreedhar, John Kottoly, Srikanth Mullagiri, Ravi Teja",India,2018.0,TV-14,177 min,8.0/10,Movie
